rho =		1.3495   -0.9983   15.4692   -0.2524    0.0493   15.1255
sigma =		-2.7204    4.8998  -14.4763    2.9555   -2.7447   13.6087


rho =		-0.2145   -0.9983   -6.6845   -0.2524    0.0493   -6.1695
sigma =		-9.5846   20.1399   -9.2430    2.9555   -2.7447    9.0279

rho =		-1.3429   -0.9983  -37.8062   -0.2524    0.0493  -36.4810
sigma =		-8.9590   18.0614  -13.3225    2.9555   -2.7447   12.9122

rho =		-2.5281   -0.9983  -17.7025   -0.2524    0.0493  -16.9248
sigma =		-6.6412   15.7684    3.4801    2.9555   -2.7447   -3.5421


rho =		3.1617   -0.9983    2.6764   -0.2524    0.0493    3.6575
sigma =		7.8011  -13.1748   10.5174    2.9555   -2.7447  -10.0583
